* Textfile zur Anzeige von Klartexten zu den entsprechenden
* RPS-Fehlermeldungen.
2043 "Fehlerhafter Aufruf bei IRC-Routine"
2045 "Falscher Mode bei IRC_setvector"
2046 "Falscher Vector bei IRC_setvector"
2047 "ENABLE bei IRC_setvector mit diesem Mode nicht zulÑssig"
2048 "Zuviele IRQ-Kontexthandler"
2049 "Default-IRQ-Kontexthandler"
2050 "Fehler bei der Aktivierung des Watchdogs"

2055 "Keine Inititialisierung fÅr IRQ-Kontext"

2060 "WARNING: Falscher Zugriff auf Hardwarekomponente (DIS)"
2061 "WARNING: Falsche Zeilennummer beim Display (2010)"
2062 "WARNING: Falsche Spaltennummer beim Display (2010)"
2063 "WARNING: UngÅltige Zeichennummer bei Display (2010)"
2064 "WARNING: Falscher Zugriff auf Display (2010)"

2070 "WARNING: Falscher Zugriff auf Hardwarekomponente (RTC)"
2071 "WARNING: Falsche Zeit bei RTC setzen"
2072 "WARNING: RTC unterstÅtzt keine Holdfunktion"
2073 "WARNING: RTC ist noch nicht initialisiert"
2074 "WARNING: Kein RTC-RAM-Abbild"
2075 "WARNING: Zeit/Datum geÑndert"

2080 "Falscher Zugriff auf Hardwarekomponente"

2090 "Falscher Zugriff auf Hardwarekomponente (DMA)"
2091 "Falscher Zugriff auf Hardwarekomponente (DMA)"

2100 "Falscher Zugriff auf Hardwarekomponente (AS1)"
2101 "Falscher Zugriff auf Hardwarekomponente (AS1)"

2110 "Falscher Zugriff auf Hardwarekomponente (PAP)"
2111 "Falscher Zugriff auf Hardwarekomponente (PAP)"

2250 "ME010/ME020/... hinzugefuegt, Kaltstart notwendig"
2251 "ME010/ME020/... nicht mehr vorhanden, Kaltstart notwendig"
2252 "ME010/ME020/... geaendert, Kaltstart notwendig"

2501 "Fehler beim Initialisieren des IO-Controllers RPSIO-Bus"
2502 "Fehler beim Initialisieren des RemoteIO Masters"
2503 "WARNING: LS191 Devicedriver nicht vorhanden"

2900 "Kein Interrupthandler fÅr IRL1 Interrupt installiert"

/**************************/
/*  Sytem  TRAP  Library  */
/**************************/

3000 "Konfigurationsfehler in den Systemstrukturen"
3001 "Konfigurationsfehler in den Systemstrukturen"
3002 "Kein Speicher bei lokaler Allocation"
3003 "UngÅltiger Pointer in die Systemstrukturen"
3004 "UngÅltige LÑnge fÅr die Systemstrukturen"
3005 "Konfigurationsfehler in den Systemstrukturen"
3006 "Falscher Eintrag in Systemstruktur"
3007 "Falsches Zugriffsflag"
3008 "Falsches Suchkriterium fÅr die Systemstrukturen"

3010 "UngÅltige Adresse fÅr ein B&R-Modul"
3011 "Offset Fehler in einem B&R-Modul"
3012 "UngÅltige Section in einem B&R-Modul"
3013 "UngÅltige DatenlÑnge beim Zugriff auf ein B&R-Modul"
3014 "UngÅltige Blocknummer"
3015 "Moduldaten im Inhaltsverzeichnismodul und B&R-Modul sind unterschiedlich"
3016 "B&R-Modul kann nicht installiert werden"
3017 "Checksumme des B&R-Moduls nicht in Ordnung"
3018 "UngÅltige NamenslÑnge fÅr ein B&R-Modul"
3019 "B&R-Modul nicht vorhanden"

3020 "IO-Zugriff: keine gÅltige Tabelle"
3021 "IO-Zugriff: falsches Zugriffsflag"
3022 "IO-Zugriff: kein RPSIO"
3023 "IO-Zugriff: falscher Parameter"
3026 "Zuviele Speicher-Typen im SYSCONF-Modul"
3027 "Speicher-Info: Versuch es in der nÑchsten Bitmap"
3028 "UngÅltige Speicherklasse"
3029 "Zuwenig Speicher verfÅgbar"
3030 "Zuwenig Speicher verfÅgbar"
3031 "UngÅltige Speicherklasse"
3032 "UngÅltiger Datenpointer"
3033 "Kein Systemtimer vorhanden"
3034 "HS-Taskklassentimer nicht vorhanden"
3035 "Speichermanager: Semaphor belegt"

3036 "AVT Linkcount Fehler"
3037 "AVT schon vorhanden"
3038 "AVT Fehler beim Update"
3039 "Globaler FUB nicht vorhanden -> Library laden"

3045 "Checksumme im B&R Modul-Header stimmt nicht"

3050 "Keine KommArea fÅr einen Kommunikationstask konfiguriert"
3051 "Keinen Eintrag in der Verbindungsliste der KommArea gefunden"
3052 "UngÅltiger State einer Verbindung in der KommArea"
3053 "Kein neuer Eintrag in der Verbindungsliste der KommArea mehr frei"
3054 "UngÅltiger Index fÅr KA_del_entry"

3060 "History-Modul nicht vorhanden"
3061 "Fehlermodul nicht vorhanden"
3062 "Mehrfaches Durchlaufen des Ringbuffers"

3070 "FORCEN: UngÅltiges Flag"
3071 "FORCEN: UngÅltiger Pointer"
3072 "FORCEN: UngÅltige Taskklasse"
3073 "FORCEN: UngÅltiger Datentyp"
3074 "FORCEN: UngÅltiger Basepointer"
3075 "FORCEN: UngÅltige Adresse (Extensionbit)"
3076 "FORCEN: UngÅltiger Index, PV wird nicht geforct"
3077 "FORCEN: Diese PV wird bereits geforct"

3080 "Falscher Offset"

3085 "Kein User-Exceptiontask gefunden"

3089 "Fehler 'info' in der Kommunikation"
3090 "UngÅltige Funktionsnummer in einem SYSTRAP-Call"
3091 "UngÅltige Funktionsnummer in einem INSTTRAP-Call"
3092 "UngÅltige Funktionsnummer in einem BURTRAP-Call"
3093 "UngÅltige Funktionsnummer in einem BTCTRAP-Call"
3094 "UngÅltige Funktionsnummer in einem PPTRAP-Call"

/* Fehler der Bitmap Routinen */

3100 "BITMAP: Grî·e einer Bitmapeinheit zu gro· oder NULL"
3101 "BITMAP: 0 Units beim Generieren"
3102 "BITMAP: Zeiger auf die Verwaltungsdaten ist nicht WORD-Aligned"
3103 "BITMAP-Alloc: Kein genÅgend gro·er freier Speicherbereich vorhanden"
3104 "BITMAP: Der Åbergebende Datenpointer zeigt in den Verwaltungsbereich"
3105 "BITMAP: Die angeforderte DatenlÑnge ist grî·er als der Speicherbereich"
3106 "BITMAP: Der freigegebene Speicher ist bereits frei"

3120 "SYS_SERVICE: Fehler bei der Initialisierung"
3121 "SYS_SERVICE: Falscher Mode"
3122 "SYS_SERVICE: Eintrag zum Lîschen nicht vorhanden"
3123 "SYS_SERVICE: Eintrag doppelt definiert"
3124 "SYS_SERVICE: zuviele EintrÑge"
3125 "SYS_SERVICE: paralleler Aufruf, noch ein Versuch notwendig"

3130 "NonCyclic-Loader: Initialisierung nicht mîglich"
3131 "NonCyclic-Loader: Eintrag nicht gefunden"

3150 "falscher Mode beim Aufruf von MO_copy"

3300 "BURLIB: Falsche TC-Nummer"
3301 "BURLIB: Falscher Offset"
3302 "BURLIB: Falscher State eines Objektes"
3303 "BURLIB: Keine Nachricht gesendet/empfangen"
3304 "BURLIB: Timeout Fehler"
3305 "BURLIB: Objekt bereits vorhanden"
3306 "BURLIB: Eintrag existiert bereits"
3307 "BURLIB: Linkcnt <> 0 oder Linkcnt > 127"
3308 "BURLIB: Fehler beim Programmieren eines Moduls"
3309 "BURLIB: ungÅltige Mailbox"
3310 "BURLIB: ungÅltiger Basepointer"
3311 "BURLIB: ungÅltiger RPSIO-Typ"
3312 "BURLIB: ungÅltiges Extension Bit"
3313 "BURLIB: ungÅltige RPSSW-Version"
3314 "BURLIB: ungÅltige DatenlÑnge"
3315 "BURLIB: Linkcount bei AVT_attach ist grî·er als 127"
3316 "BURLIB: Linkcount bei AVT_release ist NULL"
3320 "BURLIB: Objekt ist schon gelîscht"
3324 "BURLIB: Objekt nicht vorhanden"
3328 "BURLIB: Falscher Objekttyp"
3332 "BURLIB: Kein Eintrag vorhanden"
3336 "BURLIB: Falscher Ident"
3365 "BURLIB: Zuwenig Semaphore konfiguriert (Konfiguration)"

3560 "BURLIB: Keine weiteren Semaphorebuffer"
3564 "BURLIB: Semaphore nicht verfÅgbar"
3568 "BURLIB: Semaphore wurde gelîscht"
3584 "BURLIB: Zeit nicht verfÅgbar"

/* Speicherverwaltung */

3600 "Zuwenig Speicher verfÅgbar im Userbereich"
3601 "Zuwenig Speicher verfÅgbar im RPSSW-Bereich"
3602 "Zuwenig Speicher verfÅgbar im OS-Bereich"
3603 "Zuwenig Speicher verfÅgbar im dig. Merker-Bereich"
3604 "Zuwenig Speicher verfÅgbar im ana. Merker-Bereich"
3605 "Zuwenig Speicher verfÅgbar im Debug-Bereich"
3606 "Zuwenig Speicher verfÅgbar im Kopier-Bereich"
3607 "Zuwenig Speicher verfÅgbar im Treiber-Bereich"
3608 "Zuwenig Speicher verfÅgbar im PP-DPR-Bereich"
3610 "Zuwenig Speicher verfÅgbar im dig. IO-Bereich"
3611 "Zuwenig Speicher verfÅgbar im ana. IO-Bereich"
3612 "Zuwenig Speicher verfÅgbar im IO-VW-Bereich"
3620 "Zuwenig Speicher verfÅgbar im dig. RIO-Bereich"
3621 "Zuwenig Speicher verfÅgbar im ana. RIO-Bereich"
3622 "Zuwenig Speicher verfÅgbar im RIO-VW-Bereich"
3623 "Zuwenig Speicher verfÅgbar im lok. RIO-Bereich"
3699 "UngÅltige Speicherklasse bei MEM_alloc"
3700 "UngÅltiger Parameter bei MEM_free im Userbereich"
3701 "UngÅltiger Parameter bei MEM_free im RPSSW-Bereich"
3702 "UngÅltiger Parameter bei MEM_free im OS-Bereich"
3703 "UngÅltiger Parameter bei MEM_free im dig. Merker-Bereich"
3704 "UngÅltiger Parameter bei MEM_free im ana. Merker-Bereich"
3705 "UngÅltiger Parameter bei MEM_free im Debug-Bereich"
3706 "UngÅltiger Parameter bei MEM_free im Kopier-Bereich"
3707 "UngÅltiger Parameter bei MEM_free im Treiber-Bereich"
3708 "UngÅltiger Parameter bei MEM_free im PP-DPR-Bereich"
3710 "UngÅltiger Parameter bei MEM_free im dig. IO-Bereich"
3711 "UngÅltiger Parameter bei MEM_free im ana. IO-Bereich"
3712 "UngÅltiger Parameter bei MEM_free im IO-VW-Bereich"
3720 "UngÅltiger Parameter bei MEM_free im dig. RIO-Bereich"
3721 "UngÅltiger Parameter bei MEM_free im ana. RIO-Bereich"
3722 "UngÅltiger Parameter bei MEM_free im RIO-VW-Bereich"
3723 "UngÅltiger Parameter bei MEM_free im lok. RIO-Bereich"
3799 "UngÅltige Speicherklasse bei MEM_free"
3800 "UngÅltige Speicherverwaltungsstruktur im Userbereich"
3801 "UngÅltige Speicherverwaltungsstruktur im RPSSW-Bereich"
3802 "UngÅltige Speicherverwaltungsstruktur im OS-Bereich"
3803 "UngÅltige Speicherverwaltungsstruktur im dig. Merker-Bereich"
3804 "UngÅltige Speicherverwaltungsstruktur im ana. Merker-Bereich"
3805 "UngÅltige Speicherverwaltungsstruktur im Debug-Bereich"
3806 "UngÅltige Speicherverwaltungsstruktur im Kopier-Bereich"
3807 "UngÅltige Speicherverwaltungsstruktur im Treiber-Bereich"
3808 "UngÅltige Speicherverwaltungsstruktur im PP-DPR-Bereich"
3810 "UngÅltige Speicherverwaltungsstruktur im dig. IO-Bereich"
3811 "UngÅltige Speicherverwaltungsstruktur im ana. IO-Bereich"
3812 "UngÅltige Speicherverwaltungsstruktur im IO-VW-Bereich"
3820 "UngÅltige Speicherverwaltungsstruktur im dig. RIO-Bereich"
3821 "UngÅltige Speicherverwaltungsstruktur im ana. RIO-Bereich"
3822 "UngÅltige Speicherverwaltungsstruktur im RIO-VW-Bereich"
3823 "UngÅltige Speicherverwaltungsstruktur im lok. RIO-Bereich"
3899 "UngÅltige Speicherklasse"

3910 "Falscher PROM-Typ, kein FIXRAM konfiguriert ?"

3912 "Zu wenig freier PROM/FLASH-Speicher"
3913 "PROM/FLASH nicht gelîscht"
3915 "PROM/FLASH kann nicht gebrannt werden, Schreibschutzschalter ?"
3922 "PROM/FLASH mit Programmierspannung nicht gelîscht"
3923 "PROM-/FLASH-Verify nicht OK"

3990 "Checksumme des Programmiercodes im RAM stimmt nicht"

/***********************/
/* ALI  TRAP  Library  */
/***********************/

4000 "ALI: Das referenzierte ALI-Device (SAP-Liste) existiert nicht"
4001 "ALI: Die referenzierte Telegramm-Queue (Layer7-SAP) existiert nicht"
4002 "ALI: Alle Kommunikationspuffer einer Telegramm-Queue sind belegt"
4003 "ALI: Falsche öbergaberichtung der gewÑhlten Telegramm-Queue (In/Out)"
4004 "ALI: Die Version des NW-Konfigurationsmoduls wird nicht unterstÅtzt"

4010 "ALI: Zu wenig Speicher vorhanden"
4011 "ALI: Die angegebene Verbindungsnummer ist nicht projektiert"
4012 "ALI: UnzulÑssige Operation auf inaktiver Verbindung"
4013 "ALI: UnzulÑssige Operation auf aktiver Verbindung"
4014 "ALI: UnzulÑssiger Verbindungstyp"
4015 "ALI: Der angegebene Verbindungsname ist nicht projektiert"
4016 "ALI: WARNING: Versteckter Abort wurde durchgefÅhrt"
4017 "ALI: Verbindung ist keine Clientverbindung"
4018 "INA2000: falscher Pfad"

4040 "ALI: INIT nicht OK, eventuell zu wenige Kommunikationskanaele konfiguriert"
4041 "ALI: Fehler bei Zugriff auf den Kommunikationsbaustein"
4042 "ALI: Der projektierte serielle Treiber wird nicht unterstÅtzt"
4043 "ALI: Overrun eines Kommunikationspuffers der seriellen Kommunikation"
4044 "ALI: Der SIO-Timer hat zu wenig us/TICK"
4045 "ALI: Timer nicht geeignet fÅr zyklischen Betrieb oder IRQ"
4046 "ALI: Timeout im PP-Handshake"

4050 "ALI: Beim Kodieren wurde die maximale TelegrammlÑnge Åberschritten"
4051 "ALI: Die FRAME-LÑnge wurde Åberschritten"
4052 "ALI: Das Telegramm ist fehlerhaft kodiert und kann nicht dekodiert werden"
4053 "ALI: Die zur VerfÅgung gestellte Liste ist zu klein"

4060 "ALI: UnzulÑssiger Typ des ALI-Device (SAP-Liste)"
4061 "ALI: Die projektierte Zahl der Kommunikationspuffer ist nicht ausreichend"
4062 "ALI: Die projektierte maximale TelegrammlÑnge ist nicht ausreichend"
4063 "ALI: Der Profibus-Dienst wird nicht unterstÅtzt"
4064 "ALI: Die Version des OV ist inkompatibel mit der des Kommunikationspartners"
4065 "ALI: Die SAP-Liste ist auf diesem Device nicht verfÅgbar"

4080 "ALI: Die gewÑhlte Funktion ist nicht implementiert"
4081 "ALI: FÅr Client-Dienste muss das ALI-Client Modul geladen sein"

/*********************************/
/* Fehlermeldungen der NW-Karte  */
/*********************************/

4900 "NW: Zu wenig Speicher auf der NW-Karte vorhanden (-> NWCFG)"
4901 "NW: Layer2 LSAP Nummer zu hoch (-> NWCFG)"
4902 "NW: Verbindungsattribut bei einer VB ungÅltig (-> NWCFG)"
4903 "NW: Dev_kbl_index einer VB ist falsch (-> NWCFG)"
4904 "NW: Fehler beim Layer2 SAP-Konfigurieren aufgetreten"
4905 "NW: Ein Layer2 LSAP wird von mehreren Verbindungen beansprucht (-> NWCFG)"
4906 "NW: Fehler beim Initialisieren des Layer2"
4907 "NW: Fehler beim Start des Layer2"
4908 "NW: Fehler der Checksumme beim Download"
4910 "NW: Meminit liefert nicht DPR_struct_ptr"
4912 "NW: IN FIX KBL projektierter Verbindungtyp wird nicht unterstÅtzt (-> NWCFG)"
4920 "NW: kein gÅltiges FMA7 Service"
4921 "NW: FMA7 Service kann nicht ausgefÅhrt werden"

/***********************/
/* Taskklassen Fehler  */
/***********************/

5000 "Keine RPSTask in der Taskklasse"
5001 "UngÅltige Taskklassenzykluszeit"
5002 "Kommunikationsrestzeit nur in 1 Taskklasse moeglich"
5003 "Kommunikationsrestzeit max. 5 msec (50%)"
5010 "Der Stack der Taskklasse wurde zerstîrt"
5011 "Taskklassennummern passen nicht zusammen"

5020 "Keine Inputdaten beim Schaufeln fÅr das InitUP"
5021 "Keine Outputdaten beim Schaufeln fÅr das InitUP"

5030 "Kein Input bei der Interrupttaskklasse vorhanden"

5100 "Zykluszeitverletzung der Taskklasse"

5150 "Loader: Keine GOT-Section im Modul vorhanden"
5151 "Loader: nicht unterstÅtzte GOT-Kennung"
5152 "Loader: Kein globaler Loader vorhanden"

5200 "Der Stack der HS-Taskklasse wurde zerstîrt"
5201 "Der Datenbereich der HS-Taskklasse wurde zerstîrt"
5202 "Zykluszeitverletzung der HS-Taskklasse"
5203 "Es gibt keine Taskklasse #1"

5500 "Dieser IO-Controller ist nicht implementiert"
5501 "Dieser IO-Controller ist nicht implementiert"
5502 "HW-Konfiguration: Zumindest EXERMO V1.40 notwendig"
5503 "Timeout beim zyklischen Kommando an den IO-Controller"

5520 "_CM471IO: CM471-Modul nicht vorhanden"
5521 "_CM471IO: IOC_write Ringbuffer voll"
5522 "_CM471IO: IOC_read  Ringbuffer voll"
5523 "_CM471IO: IOC_read  Ringbuffer leer"

5550 "IO_info : Keine Information verfÅgbar"
5551 "IO_check: mehrere Aufrufe gleichzeitig nicht zulÑssig"
5552 "IO_disable: Forcen auf Analog-IO mit ungerader LÑnge / Adr. nicht mîglich"
5553 "IO_check: Aufruf in einer HS-Taskklasse nicht erlaubt"
5554 "IO_check: IO-Modul gesteckt, aber Modultyp stimmt nicht"
5555 "IO_check: IO-Modul nicht gesteckt"
5556 "IO-Library: Falsche Adresse 'data_adr' angegeben"
5557 "IO-Library: Falscher Offset 'intern_off' oder falsche LÑnge 'data_len'"
5558 "IO-Library: FUB am MP/PP nicht zulÑssig"
5559 "(W) IO-Library: FUB IO_data() in Arbeit"
5560 "IO-Library: FUB auf diesem CPU-Typ nicht zulÑssig"
5561 "Dieses Modul EMU_2005 ist fÅr einen anderen CPU-Typ bestimmt"
5562 "IO-Library: Diese Funktion wird mit opt. IO-Emulation nicht unterstÅtzt"
5563 "IO-Library: Diese Funktion wird mit EX350 nicht unterstÅtzt"
5564 "IO-Library: kein Zugriff auf 2010-IO bzw. 2005-Erweiterungen"
5565 "IO-Library: kein 2005-BasisIO vorhanden"
5566 "IO-Library: nicht unterstÅtzte HW-Konfigurationskennung"
5567 "IO-Library: FUB-Daten liegen nicht im IO/Merker-Pool"

5570 "IO2003 Manager nicht vorhanden bzw. Speicherproblem"
5571 "IO2003 Initialisierung fehlerhaft"
5572 "IO2003 Busy-Timeout im Zyklus"
5573 "IO2003 Konfigurations-énderung"
5574 "IO2003 AIF-Version nicht unterstÅtzt"
5575 "IO2003 ANP-Version nicht unterstÅtzt"
5576 "IO2003 Fehler beim Direct-IO"
5577 "IO2003 Fehler bei den Datentypen der Elemente von SYS2003"
5578 "IO2003 Direct-IO Overflow"
5579 "IO2003 alter Direct-IO Auftrag noch aktiv"
5580 "IO2003 maximale Anzahl von IO-Modulen rechts der CPU Åberschritten"
5581 "IO2003 Sondermodulzugriff ist nur Åber spezielle FUBs mîglich"
5582 "IO2003 Manager inkompatibel zur RPSSW-Version"

5590 "LS472 Manager nicht initialisiert"
5591 "LS472 - falsche PrÅfsumme bei Kommunikation"
5592 "LS472 - ANP antwortet nicht"
5593 "LS472 - falsche Antwort bei Watchdogaufziehen"
5594 "LS472 - falsche Slotnummer"
5595 "LS472 - Slot ist nicht enabled"
5596 "LS472 - Register15 Antwort bei Read"

5900 "Die RPSTask/HSTaskverkettung der TC/HSTC ist zerstîrt"

/****************************************************************************
*                       System Task Errors                                  *
****************************************************************************/

/**************************/
/*   Systemmanager        */
/*   6000 .. 6099         */
/**************************/

6000 "Der Systemmanager ist nicht korrekt konfiguriert"
6001 "Die zyklischen TÑtigkeiten des Systemmanagers fehlen"
6002 "Systemzykluszeitverletzung / Totaler Zeitengpa· im System"
6009 "B&R Library bzw. Mathematiklibrary nicht installiert"

/* Queue Fehler */
6010 "Interner Fehler Systemmanager"
6011 "Interner Fehler Systemmanager"

/* SM AuftrÑge */
6015 "Falsche ParameterÅbergabe an Systemmanager"
6016 "Kommunikationskanal wird bereits benutzt"
6017 "Kommunikationskanal wurde nicht benutzt"

/* Aktionsfehler */
6020 "Zyklische Systemmanageraktion nicht implementiert"
6021 "PrÅfsumme eines Moduls ist falsch"
6022 "PrÅfsumme einer Systemstruktur ist falsch"
6023 "PrÅfsumme der Systemanker ist falsch"
6024 "PrÅfsumme der Basisverwaltungstabelle ist falsch"
6025 "PrÅfsumme der Systemverwaltungstabelle ist falsch"
6026 "Anzahl der vorhandenen EX100 / NW100 ist zu gro·"

6030 "Systemstruktur Nr.  0 zerstîrt (Taskklassen Tabelle)"
6031 "Systemstruktur Nr.  1 zerstîrt (RPS-Task Tabelle)"
6032 "Systemstruktur Nr.  2 zerstîrt (SS-Taskklassen Tabelle)"
6033 "Systemstruktur Nr.  3 zerstîrt (Restzeittask Tabelle)"
6034 "Systemstruktur Nr.  4 zerstîrt (Systemtask Tabelle)"
6035 "Systemstruktur Nr.  5 zerstîrt (SPSIO Verwaltungs-Tabelle)"
6036 "Systemstruktur Nr.  6 zerstîrt (SPSIO Auftrags-Tabelle)"
6037 "Systemstruktur Nr.  7 zerstîrt (Dauer-Force Tabelle)"
6038 "Systemstruktur Nr.  8 zerstîrt (Force Tabelle)"
6039 "Systemstruktur Nr.  9 zerstîrt (PV Verwaltungs-Tabelle)"
6040 "Systemstruktur Nr. 10 zerstîrt (B&R-Modul Tabelle)"
6041 "Systemstruktur Nr. 11 zerstîrt (AVT-Tabelle)"
6042 "Systemstruktur Nr. 12 zerstîrt (Event Tabelle)"
6043 "Systemstruktur Nr. 13 zerstîrt (Kommunikationskanal Tabelle)"
6044 "Systemstruktur Nr. 14 zerstîrt (Logische Variablenlisten Tabelle)"
6045 "Systemstruktur Nr. 15 zerstîrt (Physikalische Variablenlisten Tabelle)"
6046 "Systemstruktur Nr. 16 zerstîrt (Input Kopier-Tabelle)"
6047 "Systemstruktur Nr. 17 zerstîrt (Output Kopier-Tabelle)"
6048 "Systemstruktur Nr. 18 zerstîrt (Memory Verwaltungs-Tabelle)"
6049 "Systemstruktur Nr. 19 zerstîrt (Systembusmodul Verwaltungs-Tabelle)"
6050 "Systemstruktur Nr. 20 zerstîrt (Device Tabelle)"
6051 "Systemstruktur Nr. 21 zerstîrt (Verbindungs-Tabelle)"
6052 "Systemstruktur Nr. 22 zerstîrt (Panel Verwaltungs-Tabelle)"
6053 "Systemstruktur Nr. 23 zerstîrt"
6054 "Systemstruktur Nr. 24 zerstîrt"
6055 "Systemstruktur Nr. 25 zerstîrt"
6056 "Systemstruktur Nr. 26 zerstîrt"
6057 "Systemstruktur Nr. 27 zerstîrt"
6058 "Systemstruktur Nr. 28 zerstîrt"
6059 "Systemstruktur Nr. 29 zerstîrt"

6060 "B&R Modul Nr.  0 zerstîrt"
6061 "B&R Modul Nr.  1 zerstîrt"
6062 "B&R Modul Nr.  2 zerstîrt"
6063 "B&R Modul Nr.  3 zerstîrt"
6064 "B&R Modul Nr.  4 zerstîrt"
6065 "B&R Modul Nr.  5 zerstîrt"
6066 "B&R Modul Nr.  6 zerstîrt"
6067 "B&R Modul Nr.  7 zerstîrt"
6068 "B&R Modul Nr.  8 zerstîrt"
6069 "B&R Modul Nr.  9 zerstîrt"

6070 "B&R Modul Nr. 10 zerstîrt"
6071 "B&R Modul Nr. 11 zerstîrt"
6072 "B&R Modul Nr. 12 zerstîrt"
6073 "B&R Modul Nr. 13 zerstîrt"
6074 "B&R Modul Nr. 14 zerstîrt"
6075 "B&R Modul Nr. 15 zerstîrt"
6076 "B&R Modul Nr. 16 zerstîrt"
6077 "B&R Modul Nr. 17 zerstîrt"
6078 "B&R Modul Nr. 18 zerstîrt"
6079 "B&R Modul Nr. 19 zerstîrt"

6080 "B&R Modul Nr. 20 zerstîrt"
6081 "B&R Modul Nr. 21 zerstîrt"
6082 "B&R Modul Nr. 22 zerstîrt"
6083 "B&R Modul Nr. 23 zerstîrt"
6084 "B&R Modul Nr. 24 zerstîrt"
6085 "B&R Modul Nr. 25 zerstîrt"
6086 "B&R Modul Nr. 26 zerstîrt"
6087 "B&R Modul Nr. 27 zerstîrt"
6088 "B&R Modul Nr. 28 zerstîrt"
6089 "B&R Modul Nr. 29 zerstîrt"

6090 "B&R Modul Nr. 30 zerstîrt"
6091 "B&R Modul Nr. 31 zerstîrt"
6092 "B&R Modul Nr. 32 zerstîrt"
6093 "B&R Modul Nr. 33 zerstîrt"
6094 "B&R Modul Nr. 34 zerstîrt"
6095 "B&R Modul Nr. 35 zerstîrt"
6096 "B&R Modul Nr. 36 zerstîrt"
6097 "B&R Modul Nr. 37 zerstîrt"
6098 "B&R Modul Nr. 38 zerstîrt"
6099 "B&R Modul Nr. 39 zerstîrt"


/**************************/
/*   Applikationslader    */
/**************************/

6100 "APPLIKATIONSLADER: ungÅltige System-Message bei SY_Event"
6101 "APPLIKATIONSLADER: ungÅltige ServiceID im Download"
6102 "APPLIKATIONSLADER: ungÅltige MI-Code im Download"
6103 "APPLIKATIONSLADER: ungÅltige State einer Verbindung"
6104 "APPLIKATIONSLADER: ungÅltiger Datentyp in Deinst"
6105 "APPLIKATIONSLADER: KA-Ptr = NULL"

/**************************/
/* Variablenzugriffstask  */
/**************************/

6200 "VARIABLENZUGRIFFSTASK: DATENTYP - Fehler"
6201 "VARIABLENZUGRIFFSTASK: kein Zugriffrecht mit PV-read"
6202 "VARIABLENZUGRIFFSTASK: kein Zugriffrecht mit PV-write"
6203 "VARIABLENZUGRIFFSTASK: Index-Fehler"
